processo_numero;processo_ocorrencia
8115631317;Não há Ocorrência para essa Solicitação
8115619118;Arvores em Risco
8115619118;Imoveis com Danos/Risco
8115612917;Arvores em Risco
8115612917;Tombamento de Arvores
8115565918;Imoveis com Danos/Risco
8115552617;Não há Ocorrência para essa Solicitação
8115548917;Imoveis com Danos/Risco
8115548917;Arvores em Risco
8115531718;Não há Ocorrência para essa Solicitação
8115525917;Deslizamentos de Barreiras
8115514518;Imoveis com Danos/Risco
8115426017;Imoveis Alagados
8115401618;Não há Ocorrência para essa Solicitação
8115360818;Não há Ocorrência para essa Solicitação
8115327217;Invasao de Terreno de Auxilio Moradia
8115285817;Arvores em Risco
8115251617;Não há Ocorrência para essa Solicitação
8115214317;Imoveis com Danos/Risco
8115180117;Não há Ocorrência para essa Solicitação
8115142217;Não há Ocorrência para essa Solicitação
8115114718;Não há Ocorrência para essa Solicitação
8115092517;Não há Ocorrência para essa Solicitação
8115040517;Não há Ocorrência para essa Solicitação
8114995117;Não há Ocorrência para essa Solicitação
8114960118;Não há Ocorrência para essa Solicitação
8114801018;Não há Ocorrência para essa Solicitação
8114726017;Não há Ocorrência para essa Solicitação
8114692917;Não há Ocorrência para essa Solicitação
8114507717;Imoveis com Danos/Risco
8114446618;Não há Ocorrência para essa Solicitação
8114440017;Muro com Danos
8114386318;Imoveis com Danos/Risco
8114378217;Não há Ocorrência para essa Solicitação
8114354418;Não há Ocorrência para essa Solicitação
8114249817;Não há Ocorrência para essa Solicitação
8114230517;Não há Ocorrência para essa Solicitação
8114217718;Não há Ocorrência para essa Solicitação
8114197817;Não há Ocorrência para essa Solicitação
8114195517;Imoveis com Danos/Risco
8114191017;Não há Ocorrência para essa Solicitação
8114054018;Não há Ocorrência para essa Solicitação
8114004318;Imoveis com Danos/Risco
8113959117;Não há Ocorrência para essa Solicitação
8113943817;Imoveis com Danos/Risco
8113928917;Não há Ocorrência para essa Solicitação
8113905718;Desabamento Parcial Imoveis
8113903617;Imoveis com Danos/Risco
8113888518;Não há Ocorrência para essa Solicitação
8113885618;Invasao de Terreno de Auxilio Moradia
8113869217;Imoveis com Danos/Risco
8113838017;Imoveis com Danos/Risco
8113808317;Não há Ocorrência para essa Solicitação
8113728818;Não há Ocorrência para essa Solicitação
8113722018;Não há Ocorrência para essa Solicitação
8113719017;Imoveis com Danos/Risco
8113697518;Não há Ocorrência para essa Solicitação
8113639717;Imoveis com Danos/Risco
8113626217;Deslizamentos de Barreiras
8113600317;Não há Ocorrência para essa Solicitação
8113504218;Não há Ocorrência para essa Solicitação
8113478118;Não há Ocorrência para essa Solicitação
8113431518;Invasao de Terreno de Auxilio Moradia
8113428617;Imoveis com Danos/Risco
8113349917;Invasao de Terreno de Auxilio Moradia
8113345317;Não há Ocorrência para essa Solicitação
8113338717;Não há Ocorrência para essa Solicitação
8113330418;Imoveis com Danos/Risco
8113329817;Imoveis com Danos/Risco
8113321717;Não há Ocorrência para essa Solicitação
8113315717;Não há Ocorrência para essa Solicitação
8113315518;Imoveis com Danos/Risco
8113286717;Não há Ocorrência para essa Solicitação
8113262918;Imoveis com Danos/Risco
8113147518;Não há Ocorrência para essa Solicitação
8113128217;Imoveis com Danos/Risco
8113127418;Imoveis com Danos/Risco
8113127418;Arvores em Risco
8113107517;Não há Ocorrência para essa Solicitação
8113012417;Imoveis com Danos/Risco
8113010018;Não há Ocorrência para essa Solicitação
8112750117;Não há Ocorrência para essa Solicitação
8112735018;Não há Ocorrência para essa Solicitação
8112728418;Deslizamentos de Barreiras
8112720318;Não há Ocorrência para essa Solicitação
8112708318;Imoveis com Danos/Risco
8112666918;Imoveis com Danos/Risco
8112648018;Não há Ocorrência para essa Solicitação
8112632718;Imoveis com Danos/Risco
8112622118;Não há Ocorrência para essa Solicitação
8112609717;Muro com Danos
8112602018;Não há Ocorrência para essa Solicitação
8112590218;Imoveis com Danos/Risco
8112587118;Não há Ocorrência para essa Solicitação
8112575318;Não há Ocorrência para essa Solicitação
8112478818;Não há Ocorrência para essa Solicitação
8112391117;Imoveis com Danos/Risco
8112379018;Não há Ocorrência para essa Solicitação
8112371017;Imoveis com Danos/Risco
8112352617;Não há Ocorrência para essa Solicitação
8112334817;Invasao de Terreno de Auxilio Moradia
8112231218;Imoveis com Danos/Risco
8112222517;Não há Ocorrência para essa Solicitação
8112210717;Não há Ocorrência para essa Solicitação
8112182317;Imoveis com Danos/Risco
8112168918;Imoveis com Danos/Risco
8112149418;Imoveis com Danos/Risco
8112145017;Imoveis com Danos/Risco
8112106318;Não há Ocorrência para essa Solicitação
8112088717;Não há Ocorrência para essa Solicitação
8112045617;Imoveis com Danos/Risco
8112038017;Imoveis com Danos/Risco
8112008118;Muro com Danos
8111994218;Imoveis com Danos/Risco
8111974118;Incendios
8111954217;Não há Ocorrência para essa Solicitação
8111918418;Não há Ocorrência para essa Solicitação
8111901418;Não há Ocorrência para essa Solicitação
8111793917;Muro com Danos
8111779418;Não há Ocorrência para essa Solicitação
8111689518;Imoveis com Danos/Risco
8111577218;Não há Ocorrência para essa Solicitação
8111552018;Imoveis com Danos/Risco
8111546117;Imoveis com Danos/Risco
8111530618;Imoveis com Danos/Risco
8111497017;Imoveis com Danos/Risco
8111441517;Imoveis com Danos/Risco
8111425017;Imoveis com Danos/Risco
8111372317;Não há Ocorrência para essa Solicitação
8111333618;Não há Ocorrência para essa Solicitação
8111313518;Não há Ocorrência para essa Solicitação
8111308118;Não há Ocorrência para essa Solicitação
8111154418;Não há Ocorrência para essa Solicitação
8111150918;Não há Ocorrência para essa Solicitação
8111106018;Não há Ocorrência para essa Solicitação
8111030517;Imoveis com Danos/Risco
8111008017;Não há Ocorrência para essa Solicitação
8110999018;Imoveis com Danos/Risco
8110819218;Não há Ocorrência para essa Solicitação
8110743817;Não há Ocorrência para essa Solicitação
8110593418;Não há Ocorrência para essa Solicitação
8110567517;Não há Ocorrência para essa Solicitação
8110453017;Deslizamentos de Barreiras
8110453017;Imoveis com Danos/Risco
8110448418;Não há Ocorrência para essa Solicitação
8110273018;Não há Ocorrência para essa Solicitação
8110255118;Não há Ocorrência para essa Solicitação
8110252218;Não há Ocorrência para essa Solicitação
8110210818;Não há Ocorrência para essa Solicitação
8110154018;Imoveis com Danos/Risco
8110148018;Imoveis com Danos/Risco
8110092518;Não há Ocorrência para essa Solicitação
8110090218;Não há Ocorrência para essa Solicitação
8110088818;Não há Ocorrência para essa Solicitação
8110084417;Não há Ocorrência para essa Solicitação
8110082018;Deslizamentos de Barreiras
8110079918;Desabamento Parcial Imoveis
8110076018;Não há Ocorrência para essa Solicitação
8110041317;Imoveis com Danos/Risco
8110032218;Não há Ocorrência para essa Solicitação
8109976018;Não há Ocorrência para essa Solicitação
8109873917;Não há Ocorrência para essa Solicitação
8109855017;Não há Ocorrência para essa Solicitação
8109836617;Imoveis com Danos/Risco
8109823018;Não há Ocorrência para essa Solicitação
8109790418;Não há Ocorrência para essa Solicitação
8109757917;Não há Ocorrência para essa Solicitação
8109722017;Não há Ocorrência para essa Solicitação
8109705718;Não há Ocorrência para essa Solicitação
8109620118;Imoveis com Danos/Risco
8109597117;Não há Ocorrência para essa Solicitação
8109573318;Não há Ocorrência para essa Solicitação
8109549717;Não há Ocorrência para essa Solicitação
8109512418;Não há Ocorrência para essa Solicitação
8109424818;Arvores em Risco
8109401818;Não há Ocorrência para essa Solicitação
8109358717;Não há Ocorrência para essa Solicitação
8109303618;Não há Ocorrência para essa Solicitação
8109228418;Não há Ocorrência para essa Solicitação
8109158817;Imoveis com Danos/Risco
8109108017;Não há Ocorrência para essa Solicitação
8109086717;Imoveis com Danos/Risco
8109058317;Imoveis com Danos/Risco
8109051917;Não há Ocorrência para essa Solicitação
8108952217;Não há Ocorrência para essa Solicitação
8108947917;Não há Ocorrência para essa Solicitação
8108939617;Arvores em Risco
8108939617;Imoveis com Danos/Risco
8108927817;Imoveis com Danos/Risco
8108913518;Imoveis com Danos/Risco
8108863818;Imoveis com Danos/Risco
8108743218;Não há Ocorrência para essa Solicitação
8108741018;Muro com Danos
8108741018;Deslizamentos de Barreiras
8108723118;Imoveis com Danos/Risco
8108700317;Não há Ocorrência para essa Solicitação
8108651018;Desabamento Parcial Imoveis
8108585017;Não há Ocorrência para essa Solicitação
8108571917;Muro com Danos
8108550117;Imoveis com Danos/Risco
8108532317;Incendios
8108532317;Muro com Danos
8108412817;Muro com Danos
8108348817;Imoveis com Danos/Risco
8108242318;Não há Ocorrência para essa Solicitação
8108212718;Não há Ocorrência para essa Solicitação
8108071617;Muro com Danos
8108044718;Não há Ocorrência para essa Solicitação
8108024817;Não há Ocorrência para essa Solicitação
8107931117;Incendios
8107899017;Imoveis com Danos/Risco
8107896117;Imoveis com Danos/Risco
8107864018;Não há Ocorrência para essa Solicitação
8107849118;Não há Ocorrência para essa Solicitação
8107829217;Não há Ocorrência para essa Solicitação
8107788218;Arvores em Risco
8107788218;Imoveis com Danos/Risco
8107738717;Não há Ocorrência para essa Solicitação
8107679017;Não há Ocorrência para essa Solicitação
8107651917;Não há Ocorrência para essa Solicitação
8107608418;Imoveis com Danos/Risco
8107531317;Não há Ocorrência para essa Solicitação
8107527617;Invasao de Terreno de Auxilio Moradia
8107434817;Imoveis com Danos/Risco
8107324817;Não há Ocorrência para essa Solicitação
8107282118;Não há Ocorrência para essa Solicitação
8107145617;Não há Ocorrência para essa Solicitação
8106911717;Não há Ocorrência para essa Solicitação
8106884017;Deslizamentos de Barreiras
8106774017;Tombamento de Arvores
8106758417;Não há Ocorrência para essa Solicitação
8106745017;Não há Ocorrência para essa Solicitação
8106727117;Não há Ocorrência para essa Solicitação
8106646117;Não há Ocorrência para essa Solicitação
8106566817;Não há Ocorrência para essa Solicitação
